Bates No.,Date,Coul 1,Coul 2,Coul 3,Average,Investigator
B019683,2/19/2001,2594,2682,2596,2624.00,D
B019683,2/19/2001,2616,2535,2493,2548.00,D
B019683,2/19/2001,3196,3153,3156,3168.33,D
B019683,2/19/2001,2979,3024,3078,3027.00,D
B019683,2/19/2001,2578,2630,2637,2615.00,D
B019683,2/19/2001,2809,2778,2828,2805.00,D
B019683,2/19/2001,2502,2654,2549,2568.33,D
B019683,2/19/2001,3005,2944,2760,2903.00,D
B019602,3/12/2001,6720,6923,6789,6810.67,D
B019602,3/12/2001,6410,6399,6251,6353.33,D
B019602,3/12/2001,5598,5562,5452,5537.33,D
B019602,3/12/2001,5281,5260,5395,5312.00,D
B019602,3/12/2001,4981,5265,5281,5175.67,D
B019602,3/12/2001,4970,5006,5084,5020.00,D
B019602,3/12/2001,4883,4898,4934,4905.00,D
B019602,3/12/2001,5198,5198,5379,5258.33,D
B019602,3/12/2001,4783,4782,4706,4757.00,D
B019602,3/12/2001,4709,4669,4605,4661.00,D
B019654,4/6/2001,5609,5468,5562,5546.33,D
B019654,4/6/2001,6538,6596,6634,6589.33,D
B019654,4/6/2001,6586,6628,6538,6584.00,D
B019654,4/6/2001,6639,6918,6735,6764.00,D
B019654,4/6/2001,6245,6282,6161,6229.33,D
B019654,4/6/2001,6956,6709,6923,6862.67,D
B019654,4/6/2001,6367,6431,6532,6443.33,D
B019654,4/6/2001,4597,4525,4148,4423.33,D
B019654,4/6/2001,6452,6373,6309,6378.00,D
B019654,4/6/2001,6655,6810,6805,6756.67,D
B007387,4/23/2001,7967,7945,8022,7978.00,A
B007387,4/23/2001,7404,7497,7513,7471.33,A
B007387,4/23/2001,8321,8426,8221,8322.67,A
B007387,4/23/2001,7644,7486,7622,7584.00,A
B007387,4/23/2001,7535,7595,7432,7520.67,A
B007387,4/23/2001,7009,7128,7026,7054.33,A
B007387,4/23/2001,7540,7458,7458,7485.33,A
B007387,4/23/2001,7117,7107,7177,7133.67,A
B007387,4/23/2001,7204,7236,7144,7194.67,A
B007387,4/23/2001,6896,6826,6875,6865.67,A
B019643,5/1/2001,5379,5556,5437,5457.33,D
B019643,5/1/2001,4488,4359,4494,4447.00,D
B019643,5/1/2001,4429,4526,4466,4473.67,D
B019643,5/1/2001,4349,4142,4271,4254.00,D
B019643,5/1/2001,5306,5198,5084,5196.00,D
B019643,5/1/2001,5048,5761,5032,5280.33,D
B019643,5/1/2001,5509,5395,5390,5431.33,D
B019643,5/1/2001,5239,4778,5110,5042.33,D
B019643,5/1/2001,5110,5136,5012,5086.00,D
B019460,5/3/2001,6479,6522,6564,6521.67,D
B019460,5/3/2001,7117,6864,6859,6946.67,D
B019460,5/3/2001,6336,6410,6373,6373.00,D
B019460,5/3/2001,7404,7377,7432,7404.33,D
B019460,5/3/2001,7595,7546,7263,7468.00,D
B019460,5/3/2001,6399,6607,6325,6443.67,D
B019460,5/3/2001,5950,6039,5761,5916.67,D
B019460,5/3/2001,6655,6821,6607,6694.33,D
B019460,5/3/2001,5587,5416,5598,5533.67,D
B019460,5/3/2001,7052,7258,7144,7151.33,D
B007400,5/7/2001,8985,8822,8917,8908.00,A
B007400,5/7/2001,9664,9567,9312,9514.33,A
B007400,5/7/2001,9476,9505,9323,9434.67,A
B007400,5/7/2001,7770,7907,7819,7832.00,A
B007400,5/7/2001,7901,7830,7715,7815.33,A
B007400,5/7/2001,7270,7241,7095,7202.00,A
B007400,5/7/2001,7231,7150,7128,7169.67,A
B007400,5/7/2001,7590,7508,7655,7584.33,A
B007400,5/7/2001,6853,6826,6447,6708.67,A
B007400,5/7/2001,7188,6886,6972,7015.33,A
B007409,5/10/2001,9369,9103,9227,9233.00,A
B007409,5/10/2001,9727,9585,9579,9630.33,A
B007409,5/10/2001,8693,8509,9579,8927.00,A
B007409,5/10/2001,7737,7611,7600,7649.33,A
B007409,5/10/2001,7020,6816,6977,6937.67,A
B007409,5/10/2001,8526,8421,8221,8389.33,A
B007409,5/10/2001,7227,7173,7246,7215.33,A
B007409,5/10/2001,6389,6438,6286,6371.00,A
B007409,5/10/2001,6780,6713,6284,6592.33,A
B007409,5/10/2001,6926,7072,6991,6996.33,A
B007410,5/14/2001,2486,2494,2319,2433.00,A
B007410,5/14/2001,3707,3712,3810,3743.00,A
B007410,5/14/2001,3070,3236,3239,3181.67,A
B007410,5/14/2001,3140,3161,3048,3116.33,A
B007410,5/14/2001,3254,3223,3238,3238.33,A
B007410,5/14/2001,2847,2849,2832,2842.67,A
B007410,5/14/2001,2182,2146,2177,2168.33,A
B007410,5/14/2001,2243,2091,2165,2166.33,A
B007410,5/14/2001,2004,1930,1969,1967.67,A
B007411,5/16/2001,6330,6426,6698,6484.67,A
B007411,5/16/2001,5781,5650,5363,5598.00,A
B007411,5/16/2001,6516,6725,6880,6707.00,A
B007411,5/16/2001,7150,7274,7095,7173.00,A
B007411,5/16/2001,6426,6325,6203,6318.00,A
B007411,5/16/2001,6768,6687,6843,6766.00,A
B007411,5/16/2001,6977,6993,6768,6912.67,A
B007411,5/16/2001,6693,6816,6789,6766.00,A
B007411,5/16/2001,7150,7464,7241,7285.00,A
B007412,5/18/2001,8537,8249,8526,8437.33,A
B007412,5/18/2001,8326,8454,8210,8330.00,A
B007412,5/18/2001,8210,8365,8121,8232.00,A
B007412,5/18/2001,8448,8393,8443,8428.00,A
B007412,5/18/2001,7721,7978,7764,7821.00,A
B007412,5/18/2001,8554,8889,8856,8766.33,A
B007412,5/18/2001,7578,7742,7578,7632.67,A
B007412,5/18/2001,8559,8497,8371,8475.67,A
B007412,5/18/2001,8138,8326,8309,8257.67,A
B007412,5/18/2001,7247,7036,7074,7119.00,A
B007413,5/20/2001,10709,10861,10791,10787.00,A
B007413,5/20/2001,9465,9403,9510,9459.33,A
B007413,5/20/2001,9522,9493,9664,9559.67,A
B007413,5/20/2001,9836,9973,10089,9966.00,A
B007413,5/20/2001,10072,9853,9939,9954.67,A
B007413,5/20/2001,10100,10117,10267,10161.33,A
B007413,5/20/2001,10072,10383,10204,10219.67,A
B007413,5/20/2001,8985,8957,8766,8902.67,A
B007413,5/20/2001,9193,9222,9193,9202.67,A
B007413,5/20/2001,8811,8759,8626,8732.00,A
B007414,5/21/2001,4045,4068,4157,4090.00,A
B007414,5/21/2001,3408,3532,3463,3467.67,A
B007414,5/21/2001,4809,4918,4724,4817.00,A
B007414,5/21/2001,4955,4289,4451,4565.00,A
B007414,5/21/2001,4404,4404,4672,4493.33,A
B007414,5/21/2001,5520,5468,5692,5560.00,A
B007414,5/21/2001,5676,5750,5682,5702.67,A
B007414,5/21/2001,3131,3271,3201,3201.00,A
B007414,5/21/2001,3326,3438,3417,3393.67,A
B007414,5/21/2001,3347,3522,3587,3485.33,A
B019634,5/25/2001,6134,6219,6161,6171.33,D
B019634,5/25/2001,6789,6628,6961,6792.67,D
B019634,5/25/2001,6934,6950,6751,6878.33,D
B019634,5/25/2001,7188,7166,7101,7151.67,D
B019634,5/25/2001,7464,7568,7366,7466.00,D
B019634,5/25/2001,6720,6864,6800,6794.67,D
B019634,5/25/2001,6437,6516,6442,6465.00,D
B019634,5/25/2001,6548,6789,6661,6666.00,D
B019634,5/25/2001,6044,6415,6176,6211.67,D
B019634,5/25/2001,6515,6607,6469,6530.33,D
B019639,5/28/2001,8643,8671,8699,8671.00,D
B019639,5/28/2001,9465,9199,9250,9304.67,D
B019639,5/28/2001,7846,7945,7764,7851.67,D
B019639,5/28/2001,6119,6208,5965,6097.33,D
B019639,5/28/2001,9556,9329,9476,9453.67,D
B019639,5/28/2001,9301,9238,9357,9298.67,D
B019639,5/28/2001,8744,8582,8382,8569.33,D
B019639,5/28/2001,8121,8066,8227,8138.00,D
B019639,5/28/2001,7639,7846,7535,7673.33,D
B019640,5/31/2001,6426,6762,6720,6636.00,D
B019640,5/31/2001,7890,7715,7858,7821.00,D
B019640,5/31/2001,9414,9836,9784,9678.00,D
B019640,5/31/2001,6843,6773,6778,6798.00,D
B019640,5/31/2001,,7052,6875,6963.50,D
B019640,5/31/2001,9266,9352,9420,9346.00,D
B019640,5/31/2001,8028,7731,7731,7830.00,D
B019640,5/31/2001,10083,10308,10302,10231.00,D
B019640,5/31/2001,9767,9590,9710,9689.00,D
B019641,6/3/2001,9864,9779,10066,9903.00,D
B019641,6/3/2001,11462,11509,11161,11377.33,D
B019641,6/3/2001,10164,9996,10152,10104.00,D
B019641,6/3/2001,9967,10586,10756,10436.33,D
B019641,6/3/2001,9956,9819,9979,9918.00,D
B019641,6/3/2001,9471,9533,9522,9508.67,D
B019641,6/3/2001,10066,10401,10343,10270.00,D
B019641,6/3/2001,9493,9510,9830,9611.00,D
B019641,6/3/2001,11261,11208,11261,11243.33,D
B019642,6/5/2001,1668,1072,1642,1460.67,D
B019642,6/5/2001,1076,1131,1098,1101.67,D
B019642,6/5/2001,4557,4716,4518,4597.00,D
B019642,6/5/2001,3971,4078,3996,4015.00,D
B019642,6/5/2001,3919,3886,3878,3894.33,D
B019642,6/5/2001,1985,1949,1962,1965.33,D
B019642,6/5/2001,3083,3019,3061,3054.33,D
B019642,6/5/2001,3789,3614,3772,3725.00,D
B019642,6/5/2001,4934,4986,4924,4948.00,D
B019622,6/25/2001,6003,5803,,5903.00,D
B019622,6/25/2001,5067,5096,4980,5047.67,D
B019622,6/25/2001,6270,6373,6309,6317.33,D
B019622,6/25/2001,5934,5676,5619,5743.00,D
B019622,6/25/2001,5904,5828,5686,5806.00,D
B019622,6/25/2001,5903,5821,5843,5855.67,D
B019622,6/25/2001,5438,5627,5667,5577.33,D
B019622,6/25/2001,5456,5370,5454,5426.67,D
B019622,6/25/2001,5410,,,5410.00,D
B019622,6/25/2001,5637,5539,5497,5557.67,D
B007423,7/2/2001,9779,9910,9659,9782.67,A
B007423,7/2/2001,9996,10014,10072,10027.33,A
B007423,7/2/2001,9369,9004,8934,9102.33,A
B007423,7/2/2001,9687,9505,9647,9613.00,A
B007423,7/2/2001,9080,9335,9210,9208.33,A
B007423,7/2/2001,9643,9596,9431,9556.67,A
B007423,7/2/2001,8609,8598,8421,8542.67,A
B007423,7/2/2001,8744,8699,8716,8719.67,A
B007437,7/20/2001,4827,4878,4582,4762.33,A
B007437,7/20/2001,5348,5384,5312,5348.00,A
B007437,7/20/2001,4752,4898,4672,4774.00,A
B007437,7/20/2001,5120,4944,4934,4999.33,A
B007437,7/20/2001,5457,5625,5562,5548.00,A
B007437,7/20/2001,5265,5084,,5174.50,A
B007437,7/20/2001,4929,4878,4753,4853.33,A
B007437,7/20/2001,5115,4965,5094,5058.00,A
B007437,7/20/2001,4615,4711,4583,4636.33,A
B007437,7/20/2001,4662,4596,4647,4635.00,A
B007438,7/23/2001,8660,8632,,8646.00,A
B007438,7/23/2001,8221,8643,,8432.00,A
B007438,7/23/2001,8321,8571,,8446.00,A
B007438,7/23/2001,7231,7155,,7193.00,A
B007438,7/23/2001,7769,7770,,7769.50,A
B007438,7/23/2001,3920,3990,3970,3960.00,A
B007438,7/23/2001,3793,3876,3873,3847.33,A
B007438,7/23/2001,4388,4288,4308,4328.00,A
B007438,7/23/2001,4728,5001,4888,4872.33,A
B007440,7/26/2001,1533,1634,1624,1597.00,A
B007440,7/26/2001,1642,1653,1705,1666.67,A
B007440,7/26/2001,1246,1154,1201,1200.33,A
B007440,7/26/2001,1699,1627,1667,1664.33,A
B007440,7/26/2001,991,995,905,963.67,A
B007440,7/26/2001,1257,1323,1224,1268.00,A
B007440,7/26/2001,1397,1350,1405,1384.00,A
B007440,7/26/2001,1485,1383,1367,1411.67,A
B007440,7/26/2001,1381,1331,1364,1358.67,A
B007441,7/30/2001,6039,5960,6050,6016.33,A
B007441,7/30/2001,7639,7858,7775,7757.33,A
B007448,8/2/2001,2503,2631,2542,2558.67,A
B007448,8/2/2001,2411,2478,2399,2429.33,A
B007448,8/2/2001,2616,2806,2650,2690.67,A
B007448,8/2/2001,2692,2730,2659,2693.67,A
B007448,8/2/2001,2224,2289,2213,2242.00,A
B007448,8/2/2001,2206,2335,2294,2278.33,A
B007448,8/2/2001,2497,2317,2410,2408.00,A
B007448,8/2/2001,2087,2138,2051,2092.00,A
B007484,9/27/2001,3642,3420,3521,3527.67,A
B007484,9/27/2001,3584,3611,3603,3599.33,A
B007484,9/27/2001,3942,3986,3899,3942.33,A
B007484,9/27/2001,3691,3715,3671,3692.33,A
B007484,9/27/2001,3879,3764,4033,3892.00,A
B007484,9/27/2001,3381,3457,3429,3422.33,A
B007484,9/27/2001,3177,3184,3164,3175.00,A
B007484,9/27/2001,2683,2560,2568,2603.67,A
B007484,9/27/2001,2595,2538,2661,2598.00,A
B007484,9/27/2001,2687,2770,2835,2764.00,A
B003594,9/28/2001,1800,1788,1776,1788.00,A
B003594,9/28/2001,2014,2205,2183,2134.00,A
B003594,9/28/2001,2211,2205,2183,2199.67,A
B003594,9/28/2001,2453,2449,2468,2456.67,A
B003597,9/28/2001,1632,1610,1632,1624.67,A
B003597,9/28/2001,1928,1938,1806,1890.67,A
B003597,9/28/2001,1433,1581,1539,1517.67,A
B003596,10/2/2001,711,743,727,727.00,A
B003596,10/2/2001,1000,848,965,937.67,A
B003596,10/2/2001,3100,2959,2903,2987.33,A
B007470,10/4/2001,10129,10465,10459,10351.00,A
B007470,10/4/2001,10726,10984,10996,10902.00,A
B007470,10/4/2001,7649,7852,7524,7675.00,A
B007470,10/4/2001,5488,5462,5520,5490.00,A
B007470,10/4/2001,5229,5198,5193,5206.67,A
B007470,10/4/2001,4846,4617,4692,4718.33,A
B007470,10/4/2001,4801,4713,4873,4795.67,A
B007470,10/4/2001,4555,4307,4461,4441.00,A
B007470,10/4/2001,4617,4532,4573,4574.00,A
B007470,10/4/2001,4435,4323,,4379.00,A
B003611,10/4/2001,1651,1732,1679,1687.33,A
B003611,10/4/2001,3028,3240,3186,3151.33,A
B003611,10/4/2001,2119,2305,2171,2198.33,A
B007474,10/11/2001,6671,6821,6821,6771.00,A
B007474,10/11/2001,7770,7945,7764,7826.33,A
B007474,10/11/2001,8309,8249,8271,8276.33,A
B007474,10/11/2001,7802,7704,7721,7742.33,A
B007474,10/11/2001,8249,8127,8188,8188.00,A
B007474,10/11/2001,8409,8504,8426,8446.33,A
B007476,10/15/2001,2545,2567,2587,2566.33,A
B007476,10/15/2001,2452,2471,2458,2460.33,A
B007476,10/15/2001,2429,2309,2446,2394.67,A
B007476,10/15/2001,2352,2353,2288,2331.00,A
B007476,10/15/2001,2350,2377,2367,2364.67,A
B007476,10/15/2001,2184,2096,2178,2152.67,A
B007476,10/15/2001,2133,2242,2163,2179.33,A
B007476,10/15/2001,2491,2436,2396,2441.00,A
B007476,10/15/2001,2286,2298,2245,2276.33,A
B007476,10/15/2001,2289,2281,2433,2334.33,A
B003620,10/15/2001,3728,3228,3519,3491.67,A
B003620,10/15/2001,3580,3380,3388,3449.33,A
B003620,10/15/2001,3057,2847,3022,2975.33,A
B003620,10/15/2001,2959,2896,2876,2910.33,A
B003620,10/15/2001,2960,2909,3043,2970.67,A
B003620,10/15/2001,2585,2441,2631,2552.33,A
B003620,10/15/2001,2474,2527,2520,2507.00,A
B003620,10/15/2001,2286,2264,2259,2269.67,A
B003620,10/15/2001,2451,2486,2497,2478.00,A
B003620,10/15/2001,2596,2467,2466,2509.67,A
B003617,10/16/2001,2011,2052,2012,2025.00,A
B003617,10/16/2001,1476,1567,1502,1515.00,A
B003617,10/16/2001,1536,1309,1393,1412.67,A
B007494,10/24/2001,1543,1499,,1521.00,A
B007494,10/24/2001,1551,1470,1545,1522.00,A
B007494,10/24/2001,1058,1008,989,1018.33,A
B007494,10/24/2001,856,892,867,871.67,A
B007494,10/24/2001,872,852,887,870.33,A
B007498,10/26/2001,1259,1259,1318,1278.67,A
B007498,10/26/2001,1212,1179,1241,1210.67,A
B007498,10/26/2001,981,970,939,963.33,A
B007498,10/26/2001,1022,1088,1066,1058.67,A
B007498,10/26/2001,1093,1038,1056,1062.33,A
B007498,10/26/2001,1413,1471,1471,1451.67,A
B007498,10/26/2001,1111,1041,1077,1076.33,A
B007498,10/26/2001,1057,1078,1010,1048.33,A
B007498,10/26/2001,1041,957,1016,1004.67,A
B007498,10/26/2001,891,884,937,904.00,A
B007499,10/29/2001,1155,1144,1191,1163.33,A
B007499,10/29/2001,1404,1533,1438,1458.33,A
B007499,10/29/2001,993,971,942,968.67,A
B007499,10/29/2001,917,895,899,903.67,A
B007499,10/29/2001,746,777,764,762.33,A
B007499,10/29/2001,1180,1121,1285,1195.33,A
B007499,10/29/2001,1026,932,997,985.00,A
B007499,10/29/2001,939,925,905,923.00,A
B007499,10/29/2001,760,732,720,737.33,A
B007499,10/29/2001,698,702,706,702.00,A
B003626,10/30/2001,3728,3228,3519,3491.67,A
B003626,10/30/2001,3580,3380,3388,3449.33,A
B003626,10/30/2001,3057,2847,3022,2975.33,A
B003626,10/30/2001,2959,2896,2876,2910.33,A
B003626,10/30/2001,2960,2909,3043,2970.67,A
B003626,10/30/2001,2585,2441,2631,2552.33,A
B003626,10/30/2001,2474,2527,2520,2507.00,A
B003626,10/30/2001,2286,2264,2259,2269.67,A
B003626,10/30/2001,2451,2486,2497,2478.00,A
B003626,10/30/2001,2596,2467,2466,2509.67,A
B007500,11/2/2001,2383,2564,2471,2472.67,A
B007500,11/2/2001,2899,2843,2909,2883.67,A
B007500,11/2/2001,1808,1840,1922,1856.67,A
B007500,11/2/2001,1761,1852,1789,1800.67,A
B007500,11/2/2001,1777,1721,1768,1755.33,A
B007500,11/2/2001,3159,3060,3081,3100.00,A
B007500,11/2/2001,2791,2736,2752,2759.67,A
B007500,11/2/2001,2193,2202,2202,2199.00,A
B007500,11/2/2001,1754,1799,1716,1756.33,A
B007500,11/2/2001,1489,1471,1509,1489.67,A
B003632,11/2/2001,5650,5562,5619,5610.33,A
B003632,11/2/2001,4183,3992,3862,4012.33,A
B003632,11/2/2001,3123,3212,3205,3180.00,A
B003632,11/2/2001,3531,3428,3545,3501.33,A
B003632,11/2/2001,2962,3047,3039,3016.00,A
B007503,11/5/2001,3438,3571,3566,3525.00,A
B007503,11/5/2001,3715,3784,3761,3753.33,A
B007503,11/5/2001,2164,1991,3761,2638.67,A
B007503,11/5/2001,1749,1714,,1731.50,A
B007503,11/5/2001,3733,3756,3801,3763.33,A
B007503,11/5/2001,3391,3243,3336,3323.33,A
B007503,11/5/2001,3322,3294,3405,3340.33,A
B007503,11/5/2001,3770,3693,3863,3775.33,A
B007503,11/5/2001,3675,3410,3525,3536.67,A
B007503,11/5/2001,3440,3353,3605,3466.00,A
B007503,11/5/2001,3503,3468,3397,3456.00,A
B007503,11/5/2001,3538,3371,3465,3458.00,A
B002758,12/7/2001,5379,5074,5007,5153.33,F
B002758,12/7/2001,4820,4843,4898,4853.67,F
B002758,12/7/2001,4830,4939,4866,4878.33,F
B002758,12/7/2001,5488,5562,5577,5542.33,F
B002758,12/7/2001,5255,5229,5452,5312.00,F
B002758,12/7/2001,5881,5881,5850,5870.67,F
B002758,12/7/2001,6288,6288,6277,6284.33,F
B002758,12/7/2001,5703,5603,5520,5608.67,F
B002758,12/7/2001,5151,5198,5125,5158.00,F
B002758,12/7/2001,5162,5229,5172,5187.67,F
B002775,12/13/2001,7102,7258,7002,7120.67,F
B002775,12/13/2001,6646,6650,6596,6630.67,F
B002775,12/13/2001,6934,6715,6809,6819.33,F
B002775,12/13/2001,6879,6990,6923,6930.67,F
B002775,12/13/2001,5581,5429,5541,5517.00,F
B002775,12/13/2001,5312,5394,5422,5376.00,F
B002775,12/13/2001,4668,4736,4650,4684.67,F
B002775,12/13/2001,4893,4822,4833,4849.33,F
B002775,12/13/2001,4669,4566,4677,4637.33,F
B002775,12/13/2001,3833,4043,3965,3947.00,F
B002780,12/20/2001,424,411,437,424.00,A
B002780,12/20/2001,494,445,499,479.33,A
B002780,12/20/2001,414,410,397,407.00,A
B002780,12/20/2001,376,368,353,365.67,A
B002780,12/20/2001,297,296,332,308.33,A
B002780,12/20/2001,290,302,293,295.00,A
B002780,12/20/2001,260,258,271,263.00,A
B002780,12/20/2001,270,250,227,249.00,A
B002780,12/20/2001,226,233,249,236.00,A
B002780,12/20/2001,258,231,212,233.67,A
B002786,12/25/2001,3734,3806,3721,3753.67,F
B002786,12/25/2001,3536,3609,3624,3589.67,F
B002786,12/25/2001,3491,3534,3616,3547.00,F
B002786,12/25/2001,3155,2958,2959,3024.00,F
B002786,12/25/2001,3757,3875,3852,3828.00,F
B002786,12/25/2001,3619,3632,3576,3609.00,F
B002786,12/25/2001,3871,3947,3987,3935.00,F
B002786,12/25/2001,3813,3806,3829,3816.00,F
B002786,12/25/2001,3645,3609,3718,3657.33,F
B002786,12/25/2001,3678,3550,3594,3607.33,F
B002850,1/31/2002,177,174,196,182.33,F
B002850,1/31/2002,154,150,128,144.00,F
B002850,1/31/2002,171,138,159,156.00,F
B002850,1/31/2002,156,156,154,155.33,F
B002850,1/31/2002,122,111,133,122.00,F
B002850,1/31/2002,153,140,142,145.00,F
B002850,1/31/2002,129,127,153,136.33,F
B002850,1/31/2002,147,151,147,148.33,F
B002850,1/31/2002,141,108,114,121.00,F
B002850,1/31/2002,128,95,124,115.67,F
B002850,1/31/2002,147,132,135,138.00,F
B002850,1/31/2002,222,210,244,225.33,F
B002850,1/31/2002,220,221,226,222.33,F
B002850,1/31/2002,200,221,176,199.00,F
B002850,1/31/2002,162,143,155,153.33,F
B002850,1/31/2002,176,184,183,181.00,F
B002850,1/31/2002,203,178,198,193.00,F
B002850,1/31/2002,179,177,174,176.67,F
B002850,1/31/2002,151,178,195,174.67,F
B002850,1/31/2002,155,169,174,166.00,F
B002850,1/31/2002,131,154,158,147.67,F
B002850,1/31/2002,139,128,160,142.33,F
B002851,2/1/2002,448,436,478,454.00,F
B002851,2/1/2002,342,384,355,360.33,F
B002851,2/1/2002,303,309,289,300.33,F
B002851,2/1/2002,322,283,318,307.67,F
B002851,2/1/2002,275,291,287,284.33,F
B002851,2/1/2002,279,279,267,275.00,F
B002851,2/1/2002,254,246,221,240.33,F
B002851,2/1/2002,207,235,222,221.33,F
B002851,2/1/2002,199,222,201,207.33,F
B002851,2/1/2002,194,199,202,198.33,F
B002851,2/1/2002,184,205,215,201.33,F
B002574,5/21/2002,4939,4827,4904,4890.00,F
B003975,11/11/2002,2239,2226,2222,2229.00,G
B003975,11/11/2002,1432,1365,1269,1355.33,G
B003975,11/11/2002,1622,1703,1783,1702.67,G
B003975,11/11/2002,1015,954,1057,1008.67,G
B003975,11/11/2002,1278,1195,1313,1262.00,G
B003975,11/11/2002,1172,1136,1118,1142.00,G
B003975,11/11/2002,1143,1064,1130,1112.33,G
B003975,11/11/2002,1585,1584,1430,1533.00,G
B003975,11/11/2002,1509,1508,1521,1512.67,G
B003975,11/11/2002,1705,1740,1663,1702.67,G
B003963,11/12/2002,2225,2118,2104,2149.00,G
B003963,11/12/2002,2118,2050,2027,2065.00,G
B003963,11/12/2002,1973,2006,1981,1986.67,G
B003963,11/12/2002,2350,2327,2285,2320.67,G
B003963,11/12/2002,1952,1962,1968,1960.67,G
B003963,11/12/2002,1831,1878,1856,1855.00,G
B003963,11/12/2002,1894,1867,1888,1883.00,G
B003963,11/12/2002,1916,1952,1966,1944.67,G
B003963,11/12/2002,2120,2056,2091,2089.00,G
B003963,11/12/2002,1956,1973,2002,1977.00,G
B002378,4/1/2005,737,701,,719.00,F
B002378,4/1/2005,986,1017,965,989.33,F
B002378,4/1/2005,989,1025,,1007.00,F
B002378,4/1/2005,561,576,540,559.00,F
B002378,4/1/2005,601,558,538,565.67,F
B002378,4/1/2005,577,550,524,550.33,F
B002379,4/1/2005,557,565,550,557.33,F
B002379,4/1/2005,554,547,520,540.33,F
B002379,4/1/2005,619,604,612,611.67,F
B02377,4/1/2005,2466,2397,2480,2447.67,F
B02377,4/1/2005,221,234,277,244.00,F
B02377,4/1/2005,221,184,217,207.33,F
B02377,4/1/2005,244,258,262,254.67,F
B002396,4/14/2005,275,256,284,271.67,F
B002396,4/14/2005,305,295,294,298.00,F
B002396,4/14/2005,374,392,386,384.00,F
B002396,4/14/2005,463,465,454,460.67,F
B002563,5/17/2005,1450,1439,1504,1464.33,F
B002563,5/17/2005,1364,1336,1312,1337.33,F
B002563,5/17/2005,1691,1673,1723,1695.67,F
B002563,5/17/2005,1605,1632,1549,1595.33,F
B002563,5/17/2005,2149,2169,2077,2131.67,F
B002563,5/17/2005,1818,1784,1746,1782.67,F
B002563,5/17/2005,1173,1122,1197,1164.00,F
B002563,5/17/2005,1436,1369,1430,1411.67,F
B002564,5/17/2005,1063,1083,1028,1058.00,F
B002564,5/17/2005,1100,1084,1146,1110.00,F
B002564,5/17/2005,696,706,728,710.00,F
B002564,5/17/2005,680,661,707,682.67,F
B002575,5/21/2005,1705,1748,1713,1722.00,F
B002575,5/21/2005,1760,1795,1790,1781.67,F
B002575,5/21/2005,1241,1229,1116,1195.33,F
B002575,5/21/2005,1959,1918,2044,1973.67,F
B002575,5/21/2005,1064,1104,1072,1080.00,F
B002575,5/21/2005,1729,1752,1638,1706.33,F
B002575,5/21/2005,1776,1732,1792,1766.67,F
B002575,5/21/2005,1429,1317,1415,1387.00,F
B002575,5/21/2005,1736,1711,1613,1686.67,F
B002575,5/21/2005,1467,1444,1484,1465.00,F
B002575,5/21/2005,1465,1528,1578,1523.67,F
